""
"normal     	No probs hon! How u doinat the mo?"
"normal     	Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)"
"normal     	Hm good morning, headache anyone? :-)"
"normal     	Yeah no probs - last night is obviously catching up with you... Speak soon"
"spam          	FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free"
"normal     	I might go 2 sch. Yar at e salon now v boring."
"normal     	 &lt;#&gt;  mins but i had to stop somewhere first."
"normal     	&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj"
"normal     	One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -"
"normal     	I didn't get the second half of that message"
"normal     	Wat time do u wan 2 meet me later?"
"normal     	I thank you so much for all you do with selflessness. I love you plenty."
"normal     	Am in film ill call you later."
"normal     	How dare you change my ring"
"normal     	You are a very very very very bad girl. Or lady."
"normal     	I love ya too but try and budget your money better babe. Gary would freak on me if he knew"
"normal     	What part of ""don't initiate"" don't you understand"
"normal     	I finished my lunch already. U wake up already?"
"normal     	You still at the game?"
"normal     	You have got tallent but you are wasting."
"normal     	What is your record for one night? :)"
"normal     	Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
"normal     	 gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number."
"normal     	Jokin only lar... :-) depends on which phone my father can get lor..."
"normal     	Aight, lemme know what's up"
"normal     	Get ready for  &lt;#&gt;  inches of pleasure..."
"normal     	Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday."
"normal     	;-) ok. I feel like john lennon."
""
"normal     	You are not bothering me but you have to trust my answers. Pls."
"normal     	Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
"normal     	One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt.."
"normal     	Aight what time you want me to come up?"
"normal     	Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?"
""
"normal     	Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs"
"normal     	Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
"normal     	So how's the weather over there?"
"normal     	Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that!"
"normal     	Die... Now i have e toot fringe again..."
"normal     	Lol they don't know about my awesome phone. I could click delete right now if I want."
"normal     	Ok"
"normal     	Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled &amp; answered: . . ""She is fine!"" Gudnite"
"normal     	Please leave this topic..sorry for telling that.."
"normal     	Pls send me the correct name da."
"normal     	What happened to our yo date?"
""
"normal     	Webpage s not available!"
"normal     	Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/"
"spam          	You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions."
"normal     	Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details"
"normal     	K..k...from tomorrow onwards started ah?"
"normal     	What u talking bout early morning? It's almost noon where your at!"
"normal     	Fine. Do you remember me."
"spam          	Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603"
"normal     	Ok. How many should i buy."
"normal     	Sounds good, keep me posted"
"spam          	Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021."
"normal     	Ok. So april. Cant wait"
"normal     	Boy you best get yo ass out here quick"
""
"normal     	I'm now but have to wait till 2 for the bus to pick me."
"normal     	Apart from the one i told you about yesterday?"
"normal     	Ok lor... But buy wat?"
"normal     	Somebody should go to andros and steal ice"
"normal     	Don know. I did't msg him recently."
"normal     	Take us out shopping and Mark will distract Isaiah.=D"
"normal     	Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
"normal     	There is no sense in my foot and penis."
"normal     	Okay but i thought you were the expert"
"normal     	*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?"
"normal     	S.s:)i thinl role is like sachin.just standing. Others have to hit."
"normal     	Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola"
"normal     	And very importantly, all we discuss is between u and i only."
"normal     	K..k:)how about your training process?"
"normal     	Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?"
"normal     	In da car park"
"normal     	I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ..."
"normal     	So i asked how's anthony. Dad. And your bf"
"normal     	'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-)."
"normal     	What Today-sunday..sunday is holiday..so no work.."
"normal     	Am going to take bath ill place the key in window:-)"
"spam          	LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts"
"normal     	Dear, take care. I am just reaching home.love u a lot."
"normal     	staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323"
"normal     	Have you emigrated or something? Ok maybe 5.30 was a bit hopeful..."
"normal     	Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that."
"normal     	We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;"
"normal     	Yo, you at jp and hungry like a mofo?"
"normal     	This is all just creepy and crazy to me."
"normal     	Ok... I din get ur msg..."
"normal     	Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas"
"normal     	Pathaya enketa maraikara pa'"
"normal     	Even if he my friend he is a priest call him now"
"normal     	U so lousy, run already come back then half dead... Hee..."
"normal     	That's y i said it's bad dat all e gals know u... Wat u doing now?"
"normal     	Or remind me in a few hrs."
"normal     	I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back."
"normal     	Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks"
"normal     	Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?"
"normal     	Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog."
"spam          	Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412"
"normal     	Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng..."
"normal     	Just haven't decided where yet eh ?"
"normal     	Wat time liao, where still got."
"normal     	Yes watching footie but worried we're going to blow it - Phil Neville?"
""
"normal     	Uncle Abbey! Happy New Year. Abiola"
"normal     	Now am free call me pa."
"normal     	R u saying i should re order the slippers cos i had to pay for returning it."
"normal     	Stop knowing me so well!"
"normal     	Good evening! this is roger. How are you?"
"normal     	Small problem in auction:)punj now asking tiwary"
"spam          	Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+"
"normal     	He telling not to tell any one. If so treat for me hi hi hi"
"normal     	My uncles in Atlanta. Wish you guys a great semester."
"spam          	1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+"
"normal     	U coming 2 pick me?"
"normal     	Thats cool. i liked your photos. You are very sexy!"
"normal     	would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked"
"normal     	Haha better late than ever, any way I could swing by?"
"normal     	Ok. But i finish at 6."
"spam          	LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
"normal     	I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!"
"normal     	So no messages. Had food?"
"normal     	Ok going to sleep. Hope i can meet her."
"normal     	Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!"
"normal     	Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks"
"normal     	You're right I have now that I think about it"
"normal     	Wat r u doing now?"
"normal     	Is ur lecture over?"
"spam          	sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP"
"normal     	Customer place i will call you"
"normal     	Not planned yet :)going to join company on jan 5 only.don know what will happen after that."
"normal     	Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)"
"normal     	Haha I heard that, text me when you're around"
"normal     	I.ll get there tomorrow and send it to you"
"normal     	""SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP..."""
"normal     	Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night"
"normal     	""CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUND?S LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX."""
"normal     	Sorry,  in meeting I'll call you later"
"normal     	Yo! Howz u? girls never rang after india. L"
"normal     	Yeah but which is worse for i"
"spam          	Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX"
"normal     	I tagged MY friends that you seemed to count as YOUR friends."
"spam          	Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx"
"normal     	Ok..."
"normal     	Long time. You remember me today."
"normal     	Havent shopping now lor i juz arrive only"
"normal     	Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE"
"normal     	Are you up for the challenge? I know i am :)"
"normal     	How much did ur hdd casing cost."
"normal     	Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie"
"normal     	I can't describe how lucky you are that I'm actually awake by noon"
""
"normal     	TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
"normal     	Cheers for the card ... Is it that time of year already?"
"spam          	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
"normal     	When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
"normal     	Ugh hopefully the asus ppl dont randomly do a reformat."
"normal     	Haven't seen my facebook, huh? Lol!"
"normal     	Mah b, I'll pick it up tomorrow"
"normal     	Still otside le..u come 2morrow maga.."
"normal     	Do u still have plumbers tape and a wrench we could borrow?"
"spam          	Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply."
"normal     	It vl bcum more difficult.."
""
""
"normal     	In meeting da. I will call you"
"normal     	K k :-):-) then watch some films."
"normal     	Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30."
"normal     	There the size of elephant tablets & u shove um up ur ass!!"
"normal     	So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"
"normal     	My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
""
"normal     	Good morning pookie pie! Lol hope I didn't wake u up"
"normal     	MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM."
"normal     	Happy birthday to you....dear.with lots of love.rakhesh NRI"
"normal     	Howz that persons story"
"spam          	This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
"normal     	X2  &lt;#&gt; . Are you going to get that"
"normal     	Hi neva worry bout da truth coz the truth will lead me 2 ur heart. It?s the least a unique person like u deserve. Sleep tight or morning"
""
"normal     	Is ur paper today in e morn or aft?"
"normal     	I will lick up every drop :) are you ready to use your mouth as well?"
"normal     	And you! Will expect you whenever you text! Hope all goes well tomo"
"normal     	Great. P diddy is my neighbor and comes for toothpaste every morning"
"normal     	I av a new number,  . Wil u only use this one,ta."
"normal     	So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi."
"normal     	7 lor... Change 2 suntec... Wat time u coming?"
"normal     	No de.am seeing in online shop so that i asked."
"normal     	Just curious because my cuz asked what I was up to"
"normal     	Nice.nice.how is it working?"
"normal     	Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?"
"normal     	Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again"
"normal     	She's good. How are you. Where r u working now"
"normal     	Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home"
"normal     	At home also."
"normal     	This phone has the weirdest auto correct."
"normal     	Oops my phone died and I didn't even know. Yeah I like it better."
"normal     	Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?"
"normal     	She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
"normal     	OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
"normal     	We got a divorce. Lol. She.s here"
"normal     	What's ur pin?"
"normal     	Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?"
"normal     	I want snow. It's just freezing and windy."
""
"normal     	Come to mahal bus stop.. &lt;DECIMAL&gt;"
"normal     	Don know:)this week i'm going to tirunelvai da."
"normal     	Me too baby! I promise to treat you well! I bet you will take good care of me..."
"normal     	Its like that hotel dusk game i think. You solve puzzles in a area thing"
"spam          	Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
"normal     	Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !"
"normal     	Well that must be a pain to catch"
"normal     	Sorry da thangam.it's my mistake."
"normal     	I need... Coz i never go before"
"normal     	Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
"normal     	Wife.how she knew the time of murder exactly"
"spam          	SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
"spam          	Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1"
"normal     	I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?"
"normal     	No plm i will come da. On the way."
"normal     	Guess he wants alone time. We could just show up and watch when they do.."
"normal     	Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)"
""
"normal     	Yes, princess. Toledo."
"normal     	Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
"normal     	Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor."
"normal     	Good. No swimsuit allowed :)"
"normal     	Am okay. Will soon be over. All the best"
"normal     	A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""...."
"normal     	Ok i've sent u da latest version of da project."
"normal     	Good Morning my Dear........... Have a great &amp; successful day."
"normal     	Pls accept me for one day. Or am begging you change the number."
"normal     	Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:"
"normal     	Its ok, if anybody asks abt me, u tel them..:-P"
"normal     	Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens"
"normal     	* You gonna ring this weekend or wot?"
"normal     	Also track down any lighters you can find"
"normal     	Sorry, I can't help you on this."
"normal     	Babe, I need your advice"
"normal     	I'll leave around four, ok?"
"normal     	Come to medical college at 7pm ......forward it da"
"normal     	K:)k..its good:)when are you going?"
"normal     	I can make lasagna for you... vodka..."
"normal     	HI ITS KATE CAN U GIVE ME A RING ASAP XXX"
"normal     	Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar"
"normal     	No, but you told me you were going, before you got drunk!"
"normal     	He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him"
""
"normal     	I'm always looking for an excuse to be in the city."
"normal     	Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift..."
"normal     	O shore are you takin the bus"
"normal     	So u gonna get deus ex?"
"normal     	I will send them to your email. Do you mind  &lt;#&gt;  times per night?"
"spam          	44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705."
"normal     	tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?"
"normal     	Ok then i come n pick u at engin?"
"normal     	Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late."
"normal     	Raviyog Peripherals bhayandar east"
"normal     	K actually can you guys meet me at the sunoco on howard? It should be right on the way"
"spam          	You have 1 new voicemail. Please call 08719181513."
"normal     	MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night"
"normal     	Just finished eating. Got u a plate. NOT leftovers this time."
